BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,ModifiedDate
1,295847284,adventure-works\ken0,,,Chief Executive Officer,1969-01-29,S,M,2009-01-14,True,99,69,True,2014-06-30 00:00:00.000
2,245797967,adventure-works\terri0,b'X',1.0,Vice President of Engineering,1971-08-01,S,F,2008-01-31,True,1,20,True,2014-06-30 00:00:00.000
3,509647174,adventure-works\roberto0,b'Z\xc0',2.0,Engineering Manager,1974-11-12,M,M,2007-11-11,True,2,21,True,2014-06-30 00:00:00.000
4,112457891,adventure-works\rob0,b'Z\xd6',3.0,Senior Tool Designer,1974-12-23,S,M,2007-12-05,False,48,80,True,2014-06-30 00:00:00.000
5,695256908,adventure-works\gail0,b'Z\xda',3.0,Design Engineer,1952-09-27,M,F,2008-01-06,True,5,22,True,2014-06-30 00:00:00.000
6,998320692,adventure-works\jossef0,b'Z\xde',3.0,Design Engineer,1959-03-11,M,M,2008-01-24,True,6,23,True,2014-06-30 00:00:00.000
7,134969118,adventure-works\dylan0,b'Z\xe1',3.0,Research and Development Manager,1987-02-24,M,M,2009-02-08,True,61,50,True,2014-06-30 00:00:00.000
8,811994146,adventure-works\diane1,b'Z\xe1X',4.0,Research and Development Engineer,1986-06-05,S,F,2008-12-29,True,62,51,True,2014-06-30 00:00:00.000
9,658797903,adventure-works\gigi0,b'Z\xe1h',4.0,Research and Development Engineer,1979-01-21,M,F,2009-01-16,True,63,51,True,2014-06-30 00:00:00.000
10,879342154,adventure-works\michael6,b'Z\xe1x',4.0,Research and Development Manager,1984-11-30,M,M,2009-05-03,True,16,64,True,2014-06-30 00:00:00.000
11,974026903,adventure-works\ovidiu0,b'Z\xe3',3.0,Senior Tool Designer,1978-01-17,S,M,2010-12-05,False,7,23,True,2014-06-30 00:00:00.000
12,480168528,adventure-works\thierry0,b'Z\xe3X',4.0,Tool Designer,1959-07-29,M,M,2007-12-11,False,9,24,True,2014-06-30 00:00:00.000
13,486228782,adventure-works\janice0,b'Z\xe3h',4.0,Tool Designer,1989-05-28,M,F,2010-12-23,False,8,24,True,2014-06-30 00:00:00.000
14,42487730,adventure-works\michael8,b'Z\xe5',3.0,Senior Design Engineer,1979-06-16,S,M,2010-12-30,True,3,21,True,2014-06-30 00:00:00.000
15,56920285,adventure-works\sharon0,b'Z\xe7',3.0,Design Engineer,1961-05-02,M,F,2011-01-18,True,4,22,True,2014-06-30 00:00:00.000
16,24756624,adventure-works\david0,b'h',1.0,Marketing Manager,1975-03-19,S,M,2007-12-20,True,40,40,True,2014-06-30 00:00:00.000
17,253022876,adventure-works\kevin0,b'j\xc0',2.0,Marketing Assistant,1987-05-03,S,M,2007-01-26,False,42,41,True,2014-06-30 00:00:00.000
18,222969461,adventure-works\john5,b'k@',2.0,Marketing Specialist,1978-03-06,S,M,2011-02-07,False,48,44,True,2014-06-30 00:00:00.000
19,52541318,adventure-works\mary2,b'k\xc0',2.0,Marketing Assistant,1978-01-29,S,F,2011-02-14,False,43,41,True,2014-06-30 00:00:00.000
20,323403273,adventure-works\wanida0,b'l ',2.0,Marketing Assistant,1975-03-17,M,F,2011-01-07,False,41,40,True,2014-06-30 00:00:00.000
21,243322160,adventure-works\terry0,b'l`',2.0,Marketing Specialist,1986-02-04,M,M,2009-03-02,False,44,42,True,2014-06-30 00:00:00.000
22,95958330,adventure-works\sariya0,b'l\xa0',2.0,Marketing Specialist,1987-05-21,S,M,2008-12-12,False,45,42,True,2014-06-30 00:00:00.000
23,767955365,adventure-works\mary0,b'l\xe0',2.0,Marketing Specialist,1962-09-13,M,F,2009-01-12,False,46,43,True,2014-06-30 00:00:00.000
24,72636981,adventure-works\jill0,b'm\x10',2.0,Marketing Specialist,1979-06-18,M,F,2009-01-18,False,47,43,True,2014-06-30 00:00:00.000
25,519899904,adventure-works\james1,b'x',1.0,Vice President of Production,1983-01-07,S,M,2009-02-03,True,64,52,True,2014-06-30 00:00:00.000
26,277173473,adventure-works\peter0,b'z\xc0',2.0,Production Control Manager,1982-11-03,M,M,2008-12-01,True,43,41,True,2014-12-26 09:17:08.637
27,446466105,adventure-works\jo0,b'z\xd6',3.0,Production Supervisor - WC60,1956-10-08,S,F,2008-02-27,False,80,60,True,2014-06-30 00:00:00.000
28,14417807,adventure-works\guy1,b'z\xd6\xb0',4.0,Production Technician - WC60,1988-03-13,M,M,2006-06-30,False,21,30,True,2014-06-30 00:00:00.000
29,948320468,adventure-works\mark1,b'z\xd6\xd0',4.0,Production Technician - WC60,1979-09-25,S,M,2009-01-23,False,19,29,True,2014-06-30 00:00:00.000
30,410742000,adventure-works\britta0,b'z\xd6\xf0',4.0,Production Technician - WC60,1989-09-28,M,F,2009-01-29,False,14,27,True,2014-06-30 00:00:00.000
31,750246141,adventure-works\margie0,b'z\xd7\x08',4.0,Production Technician - WC60,1986-05-20,M,F,2009-01-04,False,18,29,True,2014-06-30 00:00:00.000
32,330211482,adventure-works\rebecca0,b'z\xd7\x18',4.0,Production Technician - WC60,1977-07-10,M,F,2008-12-29,False,23,31,True,2014-06-30 00:00:00.000
33,801758002,adventure-works\annik0,b'z\xd7(',4.0,Production Technician - WC60,1976-12-26,M,M,2008-12-17,False,17,28,True,2014-06-30 00:00:00.000
34,754372876,adventure-works\suchitra0,b'z\xd78',4.0,Production Technician - WC60,1987-06-10,M,F,2009-02-16,False,15,27,True,2014-06-30 00:00:00.000
35,999440576,adventure-works\brandon0,b'z\xd7D',4.0,Production Technician - WC60,1977-01-10,M,M,2009-02-08,False,22,31,True,2014-06-30 00:00:00.000
36,788456780,adventure-works\jose0,b'z\xd7L',4.0,Production Technician - WC60,1984-07-31,M,M,2009-02-10,False,20,30,True,2014-06-30 00:00:00.000
37,442121106,adventure-works\chris2,b'z\xd7T',4.0,Production Technician - WC60,1986-08-07,S,M,2009-03-07,False,16,28,True,2014-06-30 00:00:00.000
38,6298838,adventure-works\kim1,b'z\xd7\\',4.0,Production Technician - WC60,1966-12-14,M,F,2010-01-16,False,24,32,True,2014-06-30 00:00:00.000
39,461786517,adventure-works\ed0,b'z\xd7d',4.0,Production Technician - WC60,1971-09-11,S,M,2010-02-05,False,25,32,True,2014-06-30 00:00:00.000
40,309738752,adventure-works\jolynn0,b'z\xda',3.0,Production Supervisor - WC60,1956-01-16,S,F,2007-12-26,False,82,61,True,2014-06-30 00:00:00.000
41,458159238,adventure-works\bryan0,b'z\xda\xb0',4.0,Production Technician - WC60,1973-08-27,S,M,2009-01-21,False,35,37,True,2014-06-30 00:00:00.000
42,339712426,adventure-works\james0,b'z\xda\xd0',4.0,Production Technician - WC60,1984-07-25,M,M,2008-12-27,False,39,39,True,2014-06-30 00:00:00.000
43,693325305,adventure-works\nancy0,b'z\xda\xf0',4.0,Production Technician - WC60,1988-11-19,M,F,2009-01-02,False,34,37,True,2014-06-30 00:00:00.000
44,276751903,adventure-works\simon0,b'z\xdb\x08',4.0,Production Technician - WC60,1990-05-17,S,M,2008-12-08,False,38,39,True,2014-06-30 00:00:00.000
45,500412746,adventure-works\thomas0,b'z\xdb\x18',4.0,Production Technician - WC60,1986-01-10,M,M,2009-02-26,False,37,38,True,2014-06-30 00:00:00.000
46,66073987,adventure-works\eugene1,b'z\xdb(',4.0,Production Technician - WC60,1976-02-10,S,M,2009-02-08,False,36,38,True,2014-06-30 00:00:00.000
47,33237992,adventure-works\andrew0,b'z\xde',3.0,Production Supervisor - WC10,1988-09-06,S,M,2009-02-22,False,65,52,True,2014-06-30 00:00:00.000
48,690627818,adventure-works\ruth0,b'z\xde\xb0',4.0,Production Technician - WC10,1956-06-04,M,F,2008-01-06,False,83,61,True,2014-06-30 00:00:00.000
49,912265825,adventure-works\barry0,b'z\xde\xd0',4.0,Production Technician - WC10,1956-03-26,S,M,2008-01-07,False,88,64,True,2014-06-30 00:00:00.000
50,844973625,adventure-works\sidney0,b'z\xde\xf0',4.0,Production Technician - WC10,1956-08-30,M,M,2008-02-02,False,84,62,True,2014-06-30 00:00:00.000
51,132674823,adventure-works\jeffrey0,b'z\xdf\x08',4.0,Production Technician - WC10,1956-07-11,S,M,2008-02-20,False,85,62,True,2014-06-30 00:00:00.000
52,565090917,adventure-works\doris0,b'z\xdf\x18',4.0,Production Technician - WC10,1956-04-04,M,F,2008-03-10,False,86,63,True,2014-06-30 00:00:00.000
53,9659517,adventure-works\diane0,b'z\xdf(',4.0,Production Technician - WC10,1956-03-29,M,F,2008-03-28,False,87,63,True,2014-06-30 00:00:00.000
54,109272464,adventure-works\bonnie0,b'z\xdf8',4.0,Production Technician - WC10,1986-09-10,M,F,2010-01-01,False,89,64,True,2014-06-30 00:00:00.000
55,233069302,adventure-works\taylor0,b'z\xe1',3.0,Production Supervisor - WC50,1956-04-01,M,M,2008-02-08,False,79,59,True,2014-06-30 00:00:00.000
56,652535724,adventure-works\denise0,b'z\xe1X',4.0,Production Technician - WC50,1988-07-06,M,F,2009-02-05,False,9,24,True,2014-06-30 00:00:00.000
57,10708100,adventure-works\frank1,b'z\xe1h',4.0,Production Technician - WC50,1971-07-24,S,M,2009-02-23,False,10,25,True,2014-06-30 00:00:00.000
58,571658797,adventure-works\kendall0,b'z\xe1x',4.0,Production Technician - WC50,1986-05-30,M,M,2008-12-05,False,11,25,True,2014-06-30 00:00:00.000
59,843479922,adventure-works\bob0,b'z\xe1\x84',4.0,Production Technician - WC50,1979-08-16,S,M,2008-12-24,False,12,26,True,2014-06-30 00:00:00.000
60,827686041,adventure-works\pete0,b'z\xe1\x8c',4.0,Production Technician - WC50,1977-02-03,S,M,2009-01-11,False,13,26,True,2014-06-30 00:00:00.000
61,92096924,adventure-works\diane2,b'z\xe1\x94',4.0,Production Technician - WC50,1989-08-09,S,F,2009-01-18,False,8,24,True,2014-06-30 00:00:00.000
62,494170342,adventure-works\john0,b'z\xe3',3.0,Production Supervisor - WC60,1956-08-07,M,M,2008-03-17,False,81,60,True,2014-06-30 00:00:00.000
63,414476027,adventure-works\maciej0,b'z\xe3X',4.0,Production Technician - WC60,1955-01-30,S,M,2010-01-29,False,30,35,True,2014-06-30 00:00:00.000
64,582347317,adventure-works\michael7,b'z\xe3h',4.0,Production Technician - WC60,1973-09-05,S,M,2010-02-23,False,26,33,True,2014-06-30 00:00:00.000
65,8066363,adventure-works\randy0,b'z\xe3x',4.0,Production Technician - WC60,1970-04-28,M,M,2010-02-23,False,29,34,True,2014-06-30 00:00:00.000
66,834186596,adventure-works\karan0,b'z\xe3\x84',4.0,Production Technician - WC60,1970-03-07,S,M,2009-12-22,False,28,34,True,2014-06-30 00:00:00.000
67,63179277,adventure-works\jay0,b'z\xe3\x8c',4.0,Production Technician - WC60,1976-02-11,S,M,2009-03-05,False,32,36,True,2014-06-30 00:00:00.000
68,537092325,adventure-works\charles0,b'z\xe3\x94',4.0,Production Technician - WC60,1971-09-02,S,M,2009-12-03,False,27,33,True,2014-06-30 00:00:00.000
69,752513276,adventure-works\steve0,b'z\xe3\x9c',4.0,Production Technician - WC60,1991-04-06,S,M,2009-02-15,False,31,35,True,2014-06-30 00:00:00.000
70,36151748,adventure-works\david2,b'z\xe3\xa2',4.0,Production Technician - WC60,1984-12-29,M,M,2008-12-15,False,33,36,True,2014-06-30 00:00:00.000
71,578935259,adventure-works\michael3,b'z\xe5',3.0,Production Supervisor - WC30,1989-01-29,S,M,2009-02-15,False,70,55,True,2014-06-30 00:00:00.000
72,443968955,adventure-works\steven0,b'z\xe5X',4.0,Production Technician - WC30,1977-05-14,M,M,2008-12-01,False,41,40,True,2014-06-30 00:00:00.000
73,138280935,adventure-works\carole0,b'z\xe5h',4.0,Production Technician - WC30,1983-10-19,M,F,2008-12-19,False,42,41,True,2014-06-30 00:00:00.000
74,420023788,adventure-works\bjorn0,b'z\xe5x',4.0,Production Technician - WC30,1989-11-06,S,M,2009-01-07,False,43,41,True,2014-06-30 00:00:00.000
75,363996959,adventure-works\michiko0,b'z\xe5\x84',4.0,Production Technician - WC30,1982-06-27,S,M,2009-01-26,False,44,42,True,2014-06-30 00:00:00.000
76,227319668,adventure-works\carol0,b'z\xe5\x8c',4.0,Production Technician - WC30,1988-10-17,M,F,2009-02-12,False,45,42,True,2014-06-30 00:00:00.000
77,301435199,adventure-works\merav0,b'z\xe5\x94',4.0,Production Technician - WC30,1983-05-13,M,F,2009-03-03,False,46,43,True,2014-06-30 00:00:00.000
78,370989364,adventure-works\reuben0,b'z\xe7',3.0,Production Supervisor - WC40,1987-08-27,M,M,2008-12-15,False,72,56,True,2014-06-30 00:00:00.000
79,697712387,adventure-works\eric1,b'z\xe7X',4.0,Production Technician - WC40,1966-12-08,M,M,2010-01-24,False,60,50,True,2014-06-30 00:00:00.000
80,943170460,adventure-works\sandeep0,b'z\xe7h',4.0,Production Technician - WC40,1970-12-03,S,M,2010-01-17,False,65,52,True,2014-06-30 00:00:00.000
81,413787783,adventure-works\mihail0,b'z\xe7x',4.0,Production Technician - WC40,1971-03-09,S,M,2009-12-29,False,64,52,True,2014-06-30 00:00:00.000
82,58791499,adventure-works\jack1,b'z\xe7\x84',4.0,Production Technician - WC40,1973-08-29,S,M,2010-03-03,False,62,51,True,2014-06-30 00:00:00.000
83,988315686,adventure-works\patrick1,b'z\xe7\x8c',4.0,Production Technician - WC40,1973-12-23,M,M,2010-02-12,False,61,50,True,2014-06-30 00:00:00.000
84,947029962,adventure-works\frank3,b'z\xe7\x94',4.0,Production Technician - WC40,1952-03-02,M,M,2010-02-05,False,66,53,True,2014-06-30 00:00:00.000
85,1662732,adventure-works\brian2,b'z\xe7\x9c',4.0,Production Technician - WC40,1970-12-23,S,M,2009-12-11,False,63,51,True,2014-06-30 00:00:00.000
86,769680433,adventure-works\ryan0,b'z\xe7\xa2',4.0,Production Technician - WC40,1972-06-13,M,M,2009-01-05,False,59,49,True,2014-06-30 00:00:00.000
87,7201901,adventure-works\cristian0,b'z\xe8\x80',3.0,Production Supervisor - WC10,1984-04-11,M,M,2008-12-22,False,67,53,True,2014-06-30 00:00:00.000
88,294148271,adventure-works\betsy0,b'z\xe8\xac',4.0,Production Technician - WC10,1966-12-17,S,F,2009-12-18,False,99,69,True,2014-06-30 00:00:00.000
89,90888098,adventure-works\patrick0,b'z\xe8\xb4',4.0,Production Technician - WC10,1986-09-10,S,M,2010-02-01,False,96,68,True,2014-06-30 00:00:00.000
90,82638150,adventure-works\danielle0,b'z\xe8\xbc',4.0,Production Technician - WC10,1986-09-07,S,F,2010-02-20,False,97,68,True,2014-06-30 00:00:00.000
91,390124815,adventure-works\kimberly0,b'z\xe8\xc2',4.0,Production Technician - WC10,1986-09-13,S,F,2010-01-12,False,95,67,True,2014-06-30 00:00:00.000
92,826454897,adventure-works\tom0,b'z\xe8\xc6',4.0,Production Technician - WC10,1986-10-01,M,M,2010-03-10,False,98,69,True,2014-06-30 00:00:00.000
93,778552911,adventure-works\kok-ho0,b'z\xe9\x80',3.0,Production Supervisor - WC50,1980-04-28,S,M,2008-12-27,False,78,59,True,2014-06-30 00:00:00.000
94,718299860,adventure-works\russell0,b'z\xe9\xac',4.0,Production Technician - WC50,1972-11-25,M,M,2008-12-12,False,6,23,True,2014-06-30 00:00:00.000
95,674171828,adventure-works\jim0,b'z\xe9\xb4',4.0,Production Technician - WC50,1986-09-08,M,M,2008-12-19,False,1,20,True,2014-06-30 00:00:00.000
96,912141525,adventure-works\elizabeth0,b'z\xe9\xbc',4.0,Production Technician - WC50,1990-01-25,M,F,2009-03-02,False,5,22,True,2014-06-30 00:00:00.000
97,370581729,adventure-works\mandar0,b'z\xe9\xc2',4.0,Production Technician - WC50,1986-03-21,S,M,2009-02-10,False,0,20,True,2014-06-30 00:00:00.000
98,152085091,adventure-works\sameer0,b'z\xe9\xc6',4.0,Production Technician - WC50,1978-06-26,M,M,2009-02-11,False,4,22,True,2014-06-30 00:00:00.000
99,431859843,adventure-works\nuan0,b'z\xe9\xca',4.0,Production Technician - WC50,1979-03-29,S,M,2009-01-06,False,2,21,True,2014-06-30 00:00:00.000
100,204035155,adventure-works\lolan0,b'z\xe9\xce',4.0,Production Technician - WC50,1973-01-24,M,M,2009-01-12,False,7,23,True,2014-06-30 00:00:00.000
101,153288994,adventure-works\houman0,b'z\xe9\xd1',4.0,Production Technician - WC50,1971-08-30,M,M,2009-01-25,False,3,21,True,2014-06-30 00:00:00.000
102,360868122,adventure-works\zheng0,b'z\xea\x80',3.0,Production Supervisor - WC10,1983-10-26,S,M,2008-12-03,False,66,53,True,2014-06-30 00:00:00.000
103,455563743,adventure-works\ebru0,b'z\xea\xac',4.0,Production Technician - WC10,1986-09-22,S,M,2009-12-06,False,93,66,True,2014-06-30 00:00:00.000
104,717889520,adventure-works\mary1,b'z\xea\xb4',4.0,Production Technician - WC10,1986-09-19,M,F,2009-12-25,False,94,67,True,2014-06-30 00:00:00.000
105,801365500,adventure-works\kevin2,b'z\xea\xbc',4.0,Production Technician - WC10,1986-09-19,S,M,2009-12-25,False,90,65,True,2014-06-30 00:00:00.000
106,561196580,adventure-works\john4,b'z\xea\xc2',4.0,Production Technician - WC10,1986-09-28,S,M,2010-02-27,False,92,66,True,2014-06-30 00:00:00.000
107,393421437,adventure-works\christopher0,b'z\xea\xc6',4.0,Production Technician - WC10,1986-10-01,M,M,2010-02-08,False,91,65,True,2014-06-30 00:00:00.000
108,630184120,adventure-works\jinghao0,b'z\xeb\x80',3.0,Production Supervisor - WC50,1989-02-05,S,M,2008-12-08,False,77,58,True,2014-06-30 00:00:00.000
109,113695504,adventure-works\alice0,b'z\xeb\xac',4.0,Production Technician - WC50,1978-01-26,M,F,2008-12-07,False,95,67,True,2014-06-30 00:00:00.000
110,857651804,adventure-works\jun0,b'z\xeb\xb4',4.0,Production Technician - WC50,1979-07-06,S,M,2008-12-14,False,90,65,True,2014-06-30 00:00:00.000
111,415823523,adventure-works\suroor0,b'z\xeb\xbc',4.0,Production Technician - WC50,1978-02-25,S,M,2008-12-17,False,93,66,True,2014-06-30 00:00:00.000
112,981597097,adventure-works\john1,b'z\xeb\xc2',4.0,Production Technician - WC50,1978-05-31,S,M,2009-01-01,False,91,65,True,2014-06-30 00:00:00.000
113,54759846,adventure-works\linda0,b'z\xeb\xc6',4.0,Production Technician - WC50,1987-07-17,M,F,2008-12-25,False,96,68,True,2014-06-30 00:00:00.000
114,342607223,adventure-works\mindaugas0,b'z\xeb\xca',4.0,Production Technician - WC50,1978-05-07,M,M,2009-01-13,False,97,68,True,2014-06-30 00:00:00.000
115,563680513,adventure-works\angela0,b'z\xeb\xce',4.0,Production Technician - WC50,1991-05-31,S,F,2009-01-20,False,92,66,True,2014-06-30 00:00:00.000
116,398737566,adventure-works\michael2,b'z\xeb\xd1',4.0,Production Technician - WC50,1974-05-03,S,M,2009-01-31,False,98,69,True,2014-06-30 00:00:00.000
117,599942664,adventure-works\chad0,b'z\xeb\xd3',4.0,Production Technician - WC50,1990-08-04,M,M,2009-02-18,False,99,69,True,2014-06-30 00:00:00.000
118,222400012,adventure-works\don0,b'z\xeb\xd5',4.0,Production Technician - WC50,1971-06-13,M,M,2009-02-13,False,88,64,True,2014-06-30 00:00:00.000
119,334834274,adventure-works\michael4,b'z\xeb\xd7',4.0,Production Technician - WC50,1989-06-15,S,M,2009-02-25,False,94,67,True,2014-06-30 00:00:00.000
120,211789056,adventure-works\kitti0,b'z\xeb\xd9',4.0,Production Technician - WC50,1987-06-06,S,F,2009-03-04,False,89,64,True,2014-06-30 00:00:00.000
121,521265716,adventure-works\pilar0,b'z\xec\x80',3.0,Shipping and Receiving Supervisor,1972-09-09,S,M,2009-01-02,True,93,66,True,2014-06-30 00:00:00.000
122,586486572,adventure-works\susan0,b'z\xec\xac',4.0,Stocker,1978-02-17,S,F,2008-12-07,False,97,68,True,2014-06-30 00:00:00.000
123,337752649,adventure-works\vamsi0,b'z\xec\xb4',4.0,Shipping and Receiving Clerk,1977-03-18,M,M,2008-12-07,False,95,67,True,2014-06-30 00:00:00.000
